date;screen_time;sleep_time
5.May;8h 31m;6h
4.May;4h 9m;9h
3.May;5h 54m;6h
2.May;6h 7m;9h
1.May;5h 3m;8h
30.Apr;3h 21m;9h
29.Apr;4h 48m;10h
28.Apr;6h 37m;7h
27.Apr;7h 14m;5h
26.Apr;4h 44m;8h
25.Apr;4h 27m;9h
24.Apr;6h 5m;6h
23.Apr;4h 43m;8h
22.Apr;3h 22m;3h
21.Apr;5h 34m;6h
20.Apr;7h 53m;10h
19.Apr;4h 9m;7h
18.Apr;5h 54m;10h
17.Apr;4h 58m;4h
16.Apr;5h 35m;6h
15.Apr;6h 37m;7h
14.Apr;8h 35m;7h
13.Apr;7h 25m;5h
12.Apr;3h 20m;6h
11.Apr;3h 8m;10h
10.Apr;5h 3m;9h
9.Apr;5h 38m;5h
8.Apr;4h 22m;7h
7.Apr;5h 48m;3h
6.Apr;4h 25m;5h
5.Apr;5h 47m;8h
4.Apr;4h 47m;10h
3.Apr;5h 15m;8h
2.Apr;4h 40m;6h
1.Apr;5h 53m;4h
